               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.044717,            0.003305,                   0,             0.83202,             0.66297,             0.68992,             0.28982,            0.045659,           0.0024397,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.044664,           0.0032554,                   0,             0.78246,             0.62284,              0.6321,             0.24496,            0.048829,           0.0023378,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.044492,           0.0032219,                   0,             0.84169,             0.66895,             0.71414,             0.29702,            0.045054,           0.0022477,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.044356,           0.0032743,                   0,             0.81194,             0.64039,             0.66959,             0.26705,            0.047082,           0.0022642,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.044056,           0.0031619,                   0,             0.85049,             0.63653,             0.68966,             0.29174,            0.045224,            0.002476,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.043697,           0.0032286,                   0,             0.86199,             0.66597,             0.72016,             0.31072,            0.044941,           0.0022252,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.04376,           0.0031982,                   0,             0.83339,             0.66357,             0.70156,             0.29939,            0.045615,            0.002296,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.043815,           0.0031795,                   0,             0.82352,             0.65794,             0.69044,             0.28316,            0.046187,           0.0022651,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.043668,           0.0031629,                   0,             0.85218,              0.6739,             0.73521,             0.32254,            0.044449,           0.0022488,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.043317,           0.0031844,                   0,             0.86228,             0.64456,             0.70995,             0.29443,            0.045691,           0.0024413,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.043139,           0.0031224,                   0,             0.85127,             0.64864,             0.70379,             0.29199,            0.045505,           0.0022949,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.043145,            0.003093,                   0,             0.84009,             0.67519,             0.70852,             0.30231,            0.044917,           0.0023199,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.042743,           0.0030788,                   0,             0.88951,              0.6968,             0.76134,             0.32832,            0.043839,           0.0021246,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.042482,             0.00311,                   0,             0.85355,             0.67519,             0.72923,             0.31179,            0.044919,           0.0022166,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.042779,           0.0030479,                   0,             0.86667,             0.68441,             0.73222,               0.317,             0.04531,           0.0022523,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.042414,           0.0030797,                   0,             0.85915,             0.70464,             0.75538,             0.33049,            0.043412,           0.0021719,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.042228,           0.0030683,                   0,             0.87886,             0.68404,             0.74901,             0.32761,            0.044008,           0.0022022,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.042125,           0.0030777,                   0,             0.88061,             0.69572,             0.75482,             0.33453,             0.04391,           0.0022114,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.042285,            0.003094,                   0,             0.86144,             0.70494,             0.75876,                0.33,             0.04402,           0.0021554,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.041985,           0.0030495,                   0,             0.85443,             0.70182,             0.75443,             0.33077,            0.043537,           0.0021341,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.042057,           0.0029856,                   0,              0.8801,             0.68828,             0.74712,             0.32436,            0.044558,           0.0021503,                   0,            0.004357,            0.004357,            0.004357
